,,,,,,,,,,,,,,
Akkoord–thema–bewijskoppeling,,,,,,,,,,,,,,
Iedere positieve intensiteit heeft minimaal één bewijs-ID. Afwezigheid blijft expliciet als 0 staan.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,Code,Thema,Intensiteit,Prominentie,Concreetheid,# bewijs,Bewijs-ID’s,Pagina’s,Basis
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,3,15,H14-0354; H14-0355; H14-0356; H14-0357; H14-0361; H14-0372; H14-0385; H14-0396; H14-0398; H14-0402; H14-0403; H14-0404; H14-0405; H14-0406; H14-0412,22; 28; 34; 51; 52; 53; 57; 68,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",3,2,3,3,H14-0399; H14-0400; H14-0410,53; 64,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,3,3,3,5,H14-0377; H14-0378; H14-0379; H14-0394; H14-0411,52; 64,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,3,2,13,H14-0347; H14-0354; H14-0355; H14-0357; H14-0358; H14-0361; H14-0362; H14-0363; H14-0369; H14-0380; H14-0381; H14-0391; H14-0392,2; 22; 28; 34; 43; 52,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",3,3,3,8,H14-0359; H14-0360; H14-0366; H14-0367; H14-0375; H14-0382; H14-0383; H14-0393,28; 42; 52,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,3,20,H14-0348; H14-0352; H14-0354; H14-0356; H14-0358; H14-0364; H14-0365; H14-0367; H14-0369; H14-0380; H14-0381; H14-0382; H14-0383; H14-0386; H14-0394; H14-0395; H14-0396; H14-0399; H14-0403; H14-0408,4; 15; 22; 28; 34; 40; 42; 43; 52; 53; 59,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,3,3,3,6,H14-0417; H14-0418; H14-0426; H14-0433; H14-0435; H14-0438,12; 15,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T02,"Lopen, fietsen en actieve mobiliteit",3,3,2,5,H14-0419; H14-0430; H14-0434; H14-0435; H14-0441,12; 17,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",3,3,2,8,H14-0416; H14-0420; H14-0421; H14-0422; H14-0424; H14-0425; H14-0430; H14-0436,11; 12,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",3,3,2,6,H14-0419; H14-0421; H14-0423; H14-0427; H14-0428; H14-0437,12; 13,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,2,2,2,4,H14-0432; H14-0444; H14-0445; H14-0446,12; 27,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,3,13,H14-0414; H14-0415; H14-0418; H14-0419; H14-0420; H14-0422; H14-0431; H14-0436; H14-0438; H14-0439; H14-0442; H14-0443; H14-0448,10; 12; 15; 17; 23; 35,H14 tweede volledige lezing (aselecte controleset)
Apeldoorn,Rechtstreeks,Rechtstreeks,Gelderland,SRC-009,Apeldoorn.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",3,3,2,5,H14-0420; H14-0422; H14-0429; H14-0430; H14-0436,12,H14 tweede volledige lezing (aselecte controleset)
