,,,,,,,,,,,,,,,,,,
Volledige bewijspassages,,,,,,,,,,,,,,,,,,
Uitsluitend oorspronkelijke gemeentelijke akkoorden. De passage is kort gehouden maar letterlijk; PDF-pagina is leidend.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Evidence-ID,Gemeente,Route,Regio,Provincie,Bron-ID,Exacte bestandsnaam,PDF-pagina,Gedrukte pagina,Letterlijke passage,Hoofdthema’s,Subthema’s,Kop/context,Passage-intensiteit,Concreetheid,Aard primair,Aard secundair,OCR,Herkomst codering
H14-0053,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,Ontwikkelaars dragen bij aan noodzakelijke investeringen in infrastructuur en parkeren. z Geluidsoverlast: we blijven ons inzetten om geluidsoverlast van wegen tegen te gaan. Waar mogelijk gaan we samen met Rijkswaterstaat werken aan geluidsschermen rondom de ring Alkmaar.,T05; T11,T05: Parkeercapaciteit en parkeerdruk; T11: Interbestuurlijke samenwerking,z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0054,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"Parkeren z Genoeg parkeerplekken: we zorgen voor voldoende parkeergelegenheid voor bewoners en bezoekers. z POET: nieuwe woningen lossen parkeren zoveel mogelijk op eigen terrein op via de POET-regeling (Parkeren Op Eigen Terrein), bij voorkeur in hubs. z Garages behouden: bestaande parkeergarages rond de binnenstad blijven behouden.",T05,"T05: Garages, P+R en randparkeren",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0055,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"We breiden het netwerk van veilige fietsroutes en snelfietspaden verder uit en verbeteren gevaarlijke knelpunten, waaronder de Kanaalkade. z Betaalbaar openbaar vervoer: we zetten ons samen met de provincie en vervoerders in voor betaalbaar en toegankelijk openbaar vervoer. z Busverbindingen: we zetten in op meer en regelmatigere busverbindingen, waaronder naar bedrijventerreinen en dorpen, inclusief Koedijk. z Treinverbindingen: we zetten ons in voor behoud van goede treinverbindingen en meer treinen richting Amsterdam. z Nachttrein: we zetten ons samen met NS en de provincie in om de nachttreinverbinding tussen Alkmaar en Amsterdam te behouden en blijvend onderdeel te maken van de dienstregeling. z Flexibel vervoer: we onderzoeken nieuwe vormen van flexibel en vraaggestuurd (openbaar) vervoer, vooral in de dorpen.",T02; T03; T11,"T02: Doorfiets- en snelfietsroutes; T03: Spoor, stations, tram en metro; T11: Interbestuurlijke samenwerking",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Samenwerkingsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0056,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"We investeren in de randwegen en belangrijke verkeersaders rond de stad. z Lobby: We blijven bij de provincie en het Rijk aandringen op verbetering van de N9 en N242, inclusief betere doorstroming, extra capaciteit en veilige aansluitingen. z Ondertunneling Helderseweg: we zetten door met de ondertunneling van de Helderseweg. z A9: we blijven gezamenlijk optrekken met de regio Noord-Holland Noord voor investeringen in bereikbaarheid, onder andere op de afslag A9. z Bestevaerbrug: we realiseren de Bestevaerbrug als nieuwe verbinding voor auto’s, fietsers, openbaar vervoer en voetgangers tussen Overdie en Oudorp, als fietsstraatbrug met 30 km/u. z Halvemaensbrug: op termijn verbreden we de Halvemaensbrug. z Bereikbaarheid wijken: Alkmaarse wijken blijven goed bereikbaar zonder afsluitingen met een zogeheten knip. z Vrije rechtsaffers: we gaan verder met de studies naar vrije rechtsaffers, waaronder voor de Nollenweg bij Kolping Boys. z Digitale doorstroming: we kijken naar innovatieve digitale maatregelen om de doorstroming te bevorderen. z Woningbouw en infrastructuur: bij nieuwe woningbouwprojecten worden altijd de verkeerskundige gevolgen bekeken.",T01; T02; T03; T04; T06; T11,"T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen; T03: Bus en openbaar vervoer; T04: Hoofdwegen, corridors en aansluitingen; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Interbestuurlijke samenwerking",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0057,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,We richten de Kennemersingel blijvend in als 30 km/u-weg.,T01,T01: Veilige inrichting en snelheid,z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0058,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"z Handhaving: We zetten nadrukkelijk in op handhaving door politie en buitengewoon opsporingsambtenaren (BOA’s) om overlast en gevaarlijk verkeersgedrag aan te pakken. z Herenweg: wanneer de Herenweg aan de beurt is voor herinrichting, vragen we subsidie aan.",T11,"T11: Financiering, subsidie en cofinanciering",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Investering,Probleem,Nee,H14 volledige paginatekstscan
H14-0059,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"We zetten in op veilige oversteekplaatsen, duidelijke verkeerssituaties, goede verlichting en voldoende ruimte voor fietsers en voetgangers rond scholen.",T01; T02; T06,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen; T06: Overig binnen afbakening,,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0060,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"z Digitaal parkeren: we werken aan het verder digitaliseren van fiscaal parkeren. z Mobiliteitshubs: we stimuleren mobiliteits hubs aan de randen van de stad, waar overstappen op fiets, deelvervoer of openbaar vervoer makkelijker wordt.",T02; T03; T07,"T02: Fietsnetwerk en routekwaliteit; T03: Haltes, overstappen en OV-knooppunten; T07: Mobiliteitshubs en ketendiensten",,2,2,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0061,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Voor de dorpen worden de parkeernormen niet naar beneden bijgesteld. z Onderzoek parkeren en woningbouw: we starten een onderzoek naar de balans tussen parkeren en woningbouw op basis van lokale data.,T05; T06,T05: Parkeernormen; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling,,2,2,Beleidsopdracht,Kennis- of capaciteitsvraag,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0062,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"We starten hiervoor een pilot in de dorpen, vanwege de beschikbare ruimte. z Stadslogistiek: het maatregelenplan stadslogistiek voeren we verder uit.",T09,T09: Stads- en last-mile-logistiek,,2,2,Beleidsopdracht,Innovatie of kans,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0063,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Daarom maken we schoolomgevingen overzichtelijker en verkeersveiliger. Dat doen we door een agenda ‘Veilig naar school’ te maken.,T01,T01: Schoolroutes en kwetsbare verkeersdeelnemers,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0064,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Duurzame mobiliteit z Schoner vervoer: we stimuleren schoner vervoer en verminderen uitstoot waar dat haalbaar en betaalbaar is. z Elektrisch rijden: we breiden het aantal laadpalen verder uit in overleg met bewoners en stimuleren elektrisch rijden en deelmobiliteit. z Deelvervoer: deelvervoer kan worden geplaatst op plekken waar de parkeerdruk lager is dan 90%. z Thuisladen: we experimenteren met het mogelijk maken van het opladen van elektrische auto’s aan huis.,T05; T07; T11,"T05: Parkeercapaciteit en parkeerdruk; T07: Deelmobiliteit; T11: Kennis, data, monitoring en capaciteit","komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Innovatie of kans,,Nee,H14 volledige paginatekstscan
H14-0065,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"Er komt een extra uitvoeringsplan om meer logistieke hubs van de grond te krijgen, in samenwerking met ondernemers.",T09; T11,T09: Vracht- en regionale logistiek; T11: Interbestuurlijke samenwerking,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",1,1,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0066,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Schoolzones z Veilige schoolomgeving: kinderen moeten veilig naar school kunnen lopen en fietsen.,T01; T02,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0067,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Voor de dorpen worden de parkeernormen niet naar beneden bijgesteld. z Onderzoek parkeren en woningbouw: we starten een onderzoek naar de balans tussen parkeren en woningbouw op basis van lokale data.,T05; T06; T11,"T05: Parkeernormen; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Kennis, data, monitoring en capaciteit","komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Kennis- of capaciteitsvraag,,Nee,H14 volledige paginatekstscan
H14-0068,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"Waar nodig nemen we aanvullende maatregelen, zoals snelheidsremmende inrichting, kiss-and-ridezones of extra handhaving tijdens haal- en brengtijden. z Samenwerking: we werken samen met scholen, ouders en bewoners om verkeersknelpunten snel te signaleren en aan te pakken.",T01; T11,"T01: Handhaving, educatie en veilig gedrag; T11: Interbestuurlijke samenwerking","komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0069,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,We baseren parkeernormen op de richtlijnen van CROW 2024.,T05,T05: Parkeernormen,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0070,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"We baseren parkeernormen op de richtlijnen van CROW 2024. Zo verlagen we de bezoekersnorm, waardoor meer ruimte ontstaat voor woningbouw.",T05; T06,T05: Parkeernormen; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0071,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"We starten hiervoor een pilot in de dorpen, vanwege de beschikbare ruimte. z Stadslogistiek: het maatregelenplan stadslogistiek voeren we verder uit.",T09; T11,"T09: Stads- en last-mile-logistiek; T11: Kennis, data, monitoring en capaciteit","komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Innovatie of kans,,Nee,H14 volledige paginatekstscan
H14-0072,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Zo komen we beter te weten wat de oorzaak is van de achterliggende problematiek. z Digitaal parkeren: we werken aan het verder digitaliseren van fiscaal parkeren. z Mobiliteitshubs: we stimuleren mobiliteits,T05; T07,T05: Parkeercapaciteit en parkeerdruk; T07: Mobiliteitshubs en ketendiensten,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0073,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,Zo werken we aan een leefbare binnenstad met minder onnodig autoverkeer.,T04,"T04: Doorstroming, verkeersdruk en ontsluiting","komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0074,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"overstappen op fiets, deelvervoer of openbaar vervoer makkelijker wordt.",T02; T03,"T02: Fietsnetwerk en routekwaliteit; T03: Haltes, overstappen en OV-knooppunten","komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0075,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,28,,"z Karperton: we vernieuwen de Karperton. Hier komen minimaal 350 parkeerplaatsen, met daarboven twee lagen woningen. z KSE-garage: we zorgen voor een extra parkeerdek op de Kanaalschiereilandgarage om de parkeerdruk in en rond de binnenstad verder op te vangen. z Parkeervergunningen: we houden het bestaande systeem voor parkeervergunningen in stand. z Parkeernormen: we maken een nieuwe parkeernormennota waarin we vasthouden aan duidelijke parkeernormen, zodat bewoners en ondernemers kunnen blijven rekenen op voldoende parkeergelegenheid in hun eigen omgeving.",T05,T05: Parkeernormen,"komen minimaal 350 parkeerplaatsen, met vervoer makkelijker wordt. Zo werken we aan",2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0076,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,30,,"Ook voor basisscholen blijven voldoende middelen beschikbaar. z Passend onderwijs: we onderzoeken in regionaal verband wat er mist in het aanbod aan passend onderwijs, bijvoorbeeld voor kinderen met hoogbegaafdheid, autisme of een lichamelijke beperking of een combinatie hiervan. We gaan in overleg met scholen over het uitbreiden van het specialistisch aanbod. z Mobielgebruik: in contacten met scholen, ouders en verenigingen vragen we aandacht voor mobielgebruik door kinderen onder de 16 jaar.",T08; T11,T08: Mensen met een beperking en ouderen; T11: Interbestuurlijke samenwerking,opgroeiproblemen scheidt van complexere z Gezonde scholen: we investeren in gezonde,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0077,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,43,,"Binnenstad, winkelgebieden en evenementen z Levendige binnenstad: we investeren in een aantrekkelijke en levendige binnenstad, met aandacht voor verblijfskwaliteit, veiligheid en een goede balans tussen functies. z Binnenstad XL: we werken vanuit het convenant Binnenstad XL aan een samenhangende ontwikkeling van binnenstad, Overstad en het Stationsgebied. z Openbare ruimte binnenstad: we verbeteren de kwaliteit van de openbare ruimte in de binnenstad, met aandacht voor groen, het historisch karakter en ontmoeting, waaronder met een nieuw ontwerp voor de Langestraat. z Winkelgebieden: we versterken winkelgebieden in de stad en de dorpen en verbeteren de verblijfskwaliteit, zodat dagelijkse voorzieningen bereikbaar en toekomstbestendig blijven. z Citymarketing: we zetten in op een sterke citymarketingstrategie om Alkmaar beter te positioneren als aantrekkelijke stad om te wonen, werken en bezoeken.",T06,T06: Mobiliteit bij woningbouw en gebiedsontwikkeling,"z Ondernemersloket: we behouden en toegevoegde waarde, of functies met een",3,3,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0078,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,43,,"z Ondernemersloket: we behouden en versterken het ondernemersloket als toegankelijk aanspreekpunt voor ondernemers en initiatiefnemers. z Mkb-toets: we voeren waar mogelijk een toets uit bij nieuw beleid en regelgeving op de effecten voor het midden- en kleinbedrijf (mkb), zodat deze vroegtijdig worden meegewogen. z Overleg met ondernemers: we betrekken ondernemers actief bij economisch beleid, binnenstedelijke ontwikkelingen en ruimtelijke keuzes via een regelmatig overlegmoment. z Lokaal ondernemerschap: we stimuleren lokaal, regionaal en maatschappelijk ondernemerschap en geven regionale mkbbedrijven meer kansen bij gemeentelijke aanbestedingen. z Ruimtegebruik: we stimuleren slimmer en intensiever ruimtegebruik op bestaande werklocaties, bijvoorbeeld door functiemenging waar dat passend is. z Mix van functies: in nieuwe gebiedsontwikkelingen reserveren we, volgens het vastgestelde Actieprogramma Economie, ruimte voor economische functies en voorzieningen die bijdragen aan levendige wijken, zoals kleinschalige bedrijvigheid, detailhandel, horeca en maatschappelijke voorzieningen. z Bedrijventerreinen: we investeren in toekomstbestendige bedrijventerreinen met aandacht voor bereikbaarheid, veiligheid, verduurzaming en een robuuste energieinfrastructuur. z Ruimte voor industrie: we behouden ruimte voor maakindustrie, logistiek en bedrijven in hogere milieucategorieën, zodat er ook plaats blijft voor praktische en productiegerichte werkgelegenheid. z Uitbreiding bedrijventerreinen: we zetten in op uitbreiding van bedrijventerreinen, met als ambitie ongeveer 40 netto hectare extra ruimte voor werkgelegenheid voor (de regio) Alkmaar.",T06; T11,"T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Financiering, subsidie en cofinanciering","z Ondernemersloket: we behouden en toegevoegde waarde, of functies met een",3,3,Investering,,Nee,H14 volledige paginatekstscan
H14-0079,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,45,,"Leefbaarheid gaat verder dan alleen wonen. Het omvat ook het behoud van voorzieningen zoals scholen, winkels en ontmoetingsplekken, én investeringen in verkeersveiligheid, bereikbaarheid en onderhoud van dijk- en polderwegen.",T01; T06,"T01: Veilige inrichting en snelheid; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit",15. Dorpen,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0080,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,46,,bewoners en dorpsraden ontwikkelen we een langetermijnvisie (2050) over woningbouw en duurzame energieopwekking in de polders en dorpen. z Gemeentelijke steunpunten: de gemeentelijke steunpunten in dorpen en wijken blijven in stand. z Zwemsteiger De Rijp: we vernieuwen de zwemsteiger bij haven De Rijp (Buizendijkje). z Meelzakterrein: Het Meelzakterrein in De Rijp ontwikkelen we tot evenemententerrein met parkeervoorzieningen. z Dorpshuis Schermerhorn: we realiseren het dorpshuis voor Schermerhorn bij De Ruiterstok uiterlijk in de eerste helft van 2028. z Starnmeer: we onderzoeken de mogelijkheid voor een sociale ontmoetingsruimte voor de Starnmeer. z Koedijk: we nemen Koedijk op binnen de dorpsagenda en stellen een dorpsvisie op.,T05; T06; T08; T11,"T05: Overig binnen afbakening; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T08: Bereikbaarheid van kernen en buitengebied; T11: Kennis, data, monitoring en capaciteit",bewoners en dorpsraden ontwikkelen we een omliggende agrariërs niet belemmert in hun,2,2,Kennis- of capaciteitsvraag,,Nee,H14 volledige paginatekstscan
H14-0081,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,"Verkeersveiligheid z Veilig verkeer: we zetten ons in voor meer verkeersveiligheid via de doorontwikkeling en uitvoering van het verkeersplan voor Graft en De Rijp, en via een actieplan voor veilige dijken polderwegen met extra aandacht voor de fietsveiligheid van schoolgaande kinderen.",T01; T02; T11,"T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Fietsnetwerk en routekwaliteit; T11: Visies, programma’s en uitvoering",,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0082,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,Voor dorpen met beperkt openbaar vervoer onderzoeken we of een gemeentelijke bestelbus of regiotaxi uitkomst kan bieden.,T03; T08,T03: Vraagafhankelijk en doelgroepenvervoer; T08: Bereikbaarheid van kernen en buitengebied,,1,2,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0083,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,"De coalitie ziet dagelijks hoe verkeer in de dorpen leidt tot logistieke uitdagingen, overlast en in het geval van zwaar verkeer zelfs tot scheuren in huizen. z Zwaar verkeer: landbouwverkeer en zwaar verkeer dat niet als bestemmingsverkeer geldt, weren we zoveel mogelijk uit de dorpen.",T04; T08; T09,T04: Overig binnen afbakening; T08: Bereikbaarheid van kernen en buitengebied; T09: Vracht- en regionale logistiek,z Openbaar vervoer: goed en toegankelijk,1,1,Probleem,,Nee,H14 volledige paginatekstscan
H14-0084,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,"De coalitie ziet dagelijks hoe verkeer in de dorpen leidt tot logistieke uitdagingen, overlast en in het geval van zwaar verkeer zelfs tot scheuren in huizen. z Zwaar verkeer: landbouwverkeer en zwaar verkeer dat niet als bestemmingsverkeer geldt, weren we zoveel mogelijk uit de dorpen. We onderzoeken afspraken met lokale agrariërs over een maximumsnelheid van 15 km/u en treden daarvoor in overleg met onder andere LTO Noord en Cumela.",T04; T08; T09; T11,"T04: Overig binnen afbakening; T08: Bereikbaarheid van kernen en buitengebied; T09: Vracht- en regionale logistiek; T11: Kennis, data, monitoring en capaciteit",z Openbaar vervoer: goed en toegankelijk,2,2,Kennis- of capaciteitsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0085,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,Dit is van groot belang als alternatief voor landbouwverkeer. z Openbaar vervoer: goed en toegankelijk openbaar vervoer is voor de dorpen van groot belang.,T03,T03: Bus en openbaar vervoer,z Openbaar vervoer: goed en toegankelijk,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0086,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,"Door gericht en zorgvuldig uit te breiden houden we de dorpen toegankelijk en levendig. z De Rijp: we starten de verkenning naar eventuele toekomstige betaalbare woningbouw in De Rijp, te beginnen bij de Over de Boeijersloot, in navolging van de wensen uit de dorpsvisie en de enquête van de Dorpsraad Graft-De Rijp. z Kangoeroewoningen: we stimuleren kangoeroewoningen op eigen erf om de woningnood tegen te gaan. z Bed & breakfast: we staan open voor bed & breakfasts in de dorpen. z Parkeren De Rijp: we behouden het parkeerterrein achter Oudejans voor openbaar parkeren.",T05; T06; T11,"T05: Parkeercapaciteit en parkeerdruk; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Visies, programma’s en uitvoering",z Openbaar vervoer: goed en toegankelijk,2,2,Kennis- of capaciteitsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0087,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,"Tegelijk beschermen we boeren tegen overlast en onnodige beperkingen. z Geen zon of wind op landbouwgrond: op agrarische gronden komen geen zonneweides of windparken. z Recreatieve routes: we onderzoeken de mogelijkheden voor uitbreiding van recreatieve fiets- en wandelroutes door de polders, met aandacht voor de bedrijfsvoering van agrariërs en de beperkingen die dit met zich meebrengt, zoals ziekte-insleep. z Zoetwateropslag: we onderzoeken de opslag van zoet water, onder andere via verticale drainage. z Paardenbakken en paddocks: particulieren en ondernemers krijgen ruimte om bij hun boerderij of erf paardenbakken of paddocks te realiseren. z Wildschade: We zetten ons actief in richting de provincie om wildschade niet alleen op graslanden maar ook bij vollegrondsgroentegewassen te compenseren.",T02; T11,T02: Voetgangersnetwerk en lopen; T11: Interbestuurlijke samenwerking,z Openbaar vervoer: goed en toegankelijk,2,2,Samenwerkingsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0088,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,47,,Voor dorpen met beperkt openbaar vervoer onderzoeken we of een gemeentelijke bestelbus of regiotaxi uitkomst kan bieden. z Kosten dijkwegen: we blijven in gesprek met Hoogheemraadschap Hollands Noorderkwartier (HHNK) over de kosten van onderhoud aan dijk- en polderwegen.,T03; T08; T11,T03: Vraagafhankelijk en doelgroepenvervoer; T08: Bereikbaarheid van kernen en buitengebied; T11: Interbestuurlijke samenwerking,z Openbaar vervoer: goed en toegankelijk,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0089,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,48,,"Door gezamenlijk op te trekken behalen we schaalvoordelen en versterken we onze positie op het gebied van mobiliteit, woningbouw, energie, netcongestie, economie, onderwijs en zorg.",T06,T06: Mobiliteit bij woningbouw en gebiedsontwikkeling,16. Regionale,2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0090,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,48,,"Door gezamenlijk op te trekken behalen we schaalvoordelen en versterken we onze positie op het gebied van mobiliteit, woningbouw, energie, netcongestie, economie, onderwijs en zorg. Daarbij investeren we actief in duurzame relaties met regionale partners en de provincie.",T06; T11,T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Interbestuurlijke samenwerking,16. Regionale,2,2,Samenwerkingsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0091,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,48,,"Regionale samenwerking is noodzakelijk om de grote uitdagingen van deze tijd aan te pakken. Door gezamenlijk op te trekken behalen we schaalvoordelen en versterken we onze positie op het gebied van mobiliteit, woningbouw, energie, netcongestie, economie, onderwijs en zorg.",T06; T11,T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Interbestuurlijke samenwerking,16. Regionale,2,2,Samenwerkingsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0092,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,50,,"Baten parkeergarages € 4,091,000.00 8.00% € 327,280.00",T05,"T05: Garages, P+R en randparkeren",z Financiële normen: we hanteren de volgende Bestemmingsreserves,3,3,Lokale kwestie,,Nee,H14 volledige paginatekstscan
